Component,Selector,Property,Value,File Path
Text,.dialog-text-section-content,flex-direction,column,overlays/dialog/Text.svelte
Text,.dialog-text-section-content,align-items,flex-start,overlays/dialog/Text.svelte
Text,.dialog-text-section-content,justify-content,center,overlays/dialog/Text.svelte
Text,.dialog-text-section-content,gap,var(--spc-200),overlays/dialog/Text.svelte
Text,.dialog-text-section-content,position,relative,overlays/dialog/Text.svelte
TestTwo,.dialog-root-scroll-wrapper,width,100%,experimental/dialog/TestTwo.svelte
TestTwo,.dialog-root-scroll-wrapper,overflow-y,auto,experimental/dialog/TestTwo.svelte
TestTwo,.dialog-root-scroll-wrapper,scrollbar-width,none,experimental/dialog/TestTwo.svelte
TestTwo,.dialog-root-scroll-wrapper,padding-top,124px,experimental/dialog/TestTwo.svelte
TestThree,.dialog-root-scroll-wrapper,width,100%,experimental/dialog/TestThree.svelte
TestThree,.dialog-root-scroll-wrapper,overflow-y,auto,experimental/dialog/TestThree.svelte
TestThree,.dialog-root-scroll-wrapper,scrollbar-width,none,experimental/dialog/TestThree.svelte
TestThree,.dialog-root-scroll-wrapper,padding-top,124px,experimental/dialog/TestThree.svelte
TestOne,.dialog-root-scroll-wrapper,width,100%,experimental/dialog/TestOne.svelte
TestOne,.dialog-root-scroll-wrapper,overflow-y,auto,experimental/dialog/TestOne.svelte
TestOne,.dialog-root-scroll-wrapper,scrollbar-width,none,experimental/dialog/TestOne.svelte
TestOne,.dialog-root-scroll-wrapper,padding-top,124px,experimental/dialog/TestOne.svelte
