Component,-moz-osx-font-smoothing,-ms-overflow-style,-webkit-align-items,-webkit-appearance,-webkit-flex-direction,-webkit-font-smoothing,-webkit-justify-content,-webkit-media-controls,-webkit-media-controls-panel,-webkit-media-controls-play-button,-webkit-media-controls-start-playback-button,-webkit-transform,align-content,align-items,align-self,animation,appearance,aspect-ratio,backdrop-filter,backface-visibility,background,background-color,background-position,background-repeat,background-size,border,border-bottom,border-color,border-radius,border-style,border-width,bottom,box-shadow,box-sizing,clip,color,container-type,content,cursor,display,filter,flex,flex-direction,flex-flow,flex-grow,flex-shrink,flex-wrap,font-family,font-size,font-style,font-weight,gap,grid-area,grid-auto-flow,grid-auto-rows,grid-column,grid-row,grid-template-areas,grid-template-columns,grid-template-rows,height,isolation,justify-content,left,line-height,list-style,margin,margin-bottom,margin-right,margin-top,max-height,max-width,min-height,min-width,mix-blend-mode,object-fit,opacity,outline,outline-offset,overflow,overflow-x,overflow-y,padding,padding-block,padding-bottom,padding-inline,padding-left,padding-right,padding-top,pointer-events,position,resize,right,scrollbar-width,text-align,text-decoration,text-transform,top,transform,transition,transition-delay,transition-duration,transition-property,transition-timing-function,user-select,vertical-align,visibility,white-space,width,will-change,word-wrap,z-index
ChatDialog,,,,,,,,,,,,,,.chat-dialog[open]: flex-end,,.chat-dialog: fadeIn 0.4s ease-in-out | .chat-dialog::backdrop: backdropFadeIn 0.5s ease-in-out,,,.chat-dialog::backdrop: blur(4px) | from: blur(0px) | to: blur(4px),,.chat-dialog: transparent | .chat-dialog::backdrop: var(--bg-page-20),,,,,.chat-dialog: none,,,,,,,,,,,,,,.chat-dialog[open]: flex,,,,,,,,,,,,,,,,,,,,,.chat-dialog: 100% | .dialog-content: 80vh,,.chat-dialog[open]: center,,,,,,,,.chat-dialog: none,.chat-dialog: none,,,,,from: 0 | to: 1,,,,,,.chat-dialog: 0,,.dialog-content: 0,.dialog-content: 0,,,,,,,,,,,,,,,,,,,,,,,.chat-dialog: 100%,,,
ChatInput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.message-input::placeholder: var(--fg-text-inverse-60),,,.message-input:disabled: not-allowed,,,,,,,,,,".message-input: max(16px, 0.875rem) | .hint-text: 0.6875rem",,,,,,,,,,,,,,,,,,,,,,,,.input-wrapper: 44px,,,,.message-input:disabled: 0.6,".input-wrapper:focus-within: 2px solid var(--focus-ring-color, var(--bg-primary))",.input-wrapper:focus-within: 2px,,,,.input-wrapper: 0.625rem 0.875rem,,.input-container: 1.5rem,,.input-container: 1rem,.input-container: 1rem,.input-hint: var(--space-md),,,,,,.input-hint: center,,,,,,,,,,,,,,.input-form: 100%,,,
ChatMessage,,,,,,,,,,,,,,.message: flex-start | .user-content: flex-end | .message-avatar: center | .loading-message: flex-start | .error-content: flex-start,,,,,,,".message-bubble: var(--bg-primary) | .user-bubble: var(--bg-primary) | .assistant-bubble: var(--bg-inverse) | .loading-bubble: var(--bg-page) | .error-content: var(--error-bg, #fef2f2)",,,,,".error-content: 1px solid var(--error-border, #fecaca)",,.assistant-bubble: var(--fg-text-primary),".message-bubble: 18px | .user-bubble: var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small) | .assistant-bubble: var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px | .loading-bubble: 18px | .error-content: 8px",.assistant-bubble: solid,.assistant-bubble: 1px,,,.loading-bubble: border-box,,".user-bubble: var(--fg-text-inverse) | .assistant-bubble: var(--fg-text-primary) | .message-time: var(--fg-text-primary) | .user-meta .message-time: var(--fg-text-primary) | .loading-bubble: var(--fg-text-primary) | .error-title: var(--error-text, #dc2626) | .error-details: var(--error-text-secondary, #7f1d1d)",,,,.message: flex | .user-content: flex | .message-avatar: flex | .error-content: flex,,.message-content: 1,.user-message: row-reverse | .user-content: column,,,.message-avatar: 0 | .error-icon: 0,,.loading-text: var(--font-family-alt),.message-bubble p: 1.2rem | .message-time: 0.75rem | .loading-text: var(--fs-200) | .error-icon: 1.25rem | .error-title: 0.875rem | .error-details: 0.8125rem,,.error-title: 600,.message: 0.75rem | .error-content: 0.75rem | .prompt-buttons: 0.75rem,,,,,,,,,,,.message: flex-start | .message-avatar: center,,.message-bubble p: 130% | .loading-text: 130%,,.message-bubble p: 0 | .loading-text: 0 | .error-title: 0 0 0.25rem 0 | .error-details: 0,,,.message-meta: 0.25rem,,.message-content: calc(100% - 50px) | .message-bubble: 100%,,,,,.message-time: 0.7,,,,,,.message: 0.75rem 1.5rem | .message-bubble: 0.75rem 1rem | .message-meta: 0 0.25rem | .loading-bubble: 0.75rem 1rem | .error-message: 1rem 1.5rem | .error-content: 1rem,,,,,,,,.message-bubble: relative | .loading-bubble: relative,,,,,,,,,,,,,,,,,,.loading-bubble: 100%,,.message-bubble: break-word | .loading-bubble: break-word,
ChatMessages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.messages-container: flex,,.messages-container: 1,.messages-container: column,,,,,,,,,,,,,,,,,,.messages-container: 100%,,.messages-container: flex-start,,,,,,,,.messages-container: 100%,.messages-container: 800px,.messages-container: 0,,,,,,,,,.messages-container: auto,.messages-container: 0,,,,,,,,,,,,,,,,,,,,,,,,,,.messages-container: 100%,,,
ChatTrigger,,,,,,,,,,,,,,.chat-trigger: center,,,,.chat-trigger: 4 / 5,,,,.chat-trigger: var(--bg-page),.profile-image: top,.profile-image: no-repeat,.profile-image: cover,.chat-trigger: none,,,.chat-trigger: var(--bdr-radius-small) | .profile-image: var(--bdr-radius-tiny),,,,.chat-trigger: inset 0 0 0 1px var(--fg-text-primary),,,,.chat-trigger: inline-size,,.chat-trigger: pointer,.chat-trigger: flex | .profile-image: flex,,,,,,,,,,,,,,,,,,,,,.profile-image: 100%,,.chat-trigger: center,,,,,,,,,,,,,,,,,,,,.chat-trigger: 4px,,,,,,,,.chat-trigger: relative,,,,,,,,.chat-trigger:hover .profile-image: scale(0.98),.profile-image: all 0.15s ease-in-out,,,,,,,,,.chat-trigger: var(--width-4xl) | .profile-image: 100%,,,
Details,,,,,,,,,,,,,,.title: center | li: center,,,,,,,".title::after: currentColor | li::before: var(--before-color, currentColor)",,,,,,,,li::before: 2px,,,,,,,.title: rgba(var(--color-txt-primary)) | span: rgb(var(--color-txt-primary)) | li: rgb(var(--color-txt-primary)) | .dash: rgb(var(--color-txt-primary)),,.title::after: '' | li::before: '',,.layout: inline-flex | .title: flex | .title::after: block | ul: flex | li: flex | li::before: inline-block,,,.dialog-details: row | ul: column,.layout: column,,,li: nowrap,.title: var(--font-family-alt),.title: var(--fs-300),,.title: var(--fw-regular) | span: var(--fw-semibold) | li: var(--fw-medium) | .name: var(--fw-medium) | .role: var(--fw-regular) | .dash: var(--fw-regular),.layout: var(--spc-200) | .title: 8px | ul: var(--spc-100),,,,,,,,,.title::after: 1px | li::before: 0.6em,,,,,ul: none,.dash: 0 2px,,li::before: 6px,,,,,,,,,,,,,,,,,,ul: 0 | li: var(--spc-75),,,,.title: relative | li: relative,,,,,,,,,,,,,,,li::before: middle,,".name,
  .role,
  .dash,
  li: nowrap",.layout: 100% | .title::after: 100% | li::before: 0.6em,,,
Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,div: rgb(var(--fg-text-primary)) | .p-3: rgb(var(--fg-positive)),,,,div: inline-flex,,,div: column,,,,,,"div: clamp(18px, 4vw, 28px)",,.p-3: var(--fw-regular),div: 0.5em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,div: 2em,,,,,,,,,,,,,,,,,,,,,,,,,
FilterGroup,,.filter-group: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.filter-group::-webkit-scrollbar: none,,,,,,,.filter-group: wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.filter-group: auto,,,,.filter-group: 1.5rem,,,,,,,,,.filter-group: none,,,,,,,,,,,,,,,,,,
FilterToggle,,,,,,,,,,,,,,.filter-toggle: center,,,,,,,,.filter-toggle: var(--bg-pae) | .filter-toggle.active: var(--bg-primary),,,,.filter-toggle: none,,,.filter-toggle: var(--bdr-radius-small),,,,.filter-toggle: inset 0 0px 0px 1px var(--bg-primary) | .filter-toggle:hover: inset 0 0px 0px 2px var(--bg-primary) | .filter-toggle.active: inset 0 0px 0px 4px var(--bg-primary) | .filter-toggle.active:hover: inset 0 0px 0px 2px var(--bg-primary),,,.filter-toggle: var(--fg-text-primary) | .filter-toggle.active: var(--fg-text-inverse),,,.filter-toggle: pointer,.filter-toggle: inline-flex,,,,,,,,.filter-toggle: var(--font-family-main),.filter-toggle: var(--fs-350),,.filter-toggle: var(--fw-semibold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.filter-toggle: 6px 10px,,,,,,,,,,,,,,.filter-toggle: capitalize,,,.filter-toggle: all 0.2s ease-in-out,,,,,.filter-toggle: none,,,.filter-toggle: nowrap,,,,
Footer,,,,,,,,,,,,,,.footer-section-root: flex-end | .dialog-completion-message: center,,,,,,,,.dialog-completion-message: rgba(var(--bg-inverse) / 0.8),,,,,,,.dialog-completion-message: var(--bdr-radius-small),,,,.dialog-completion-message: inset 0 0 0 1px rgba(var(--bdr-primary) / 0),,,".dialog-completion-message: rgb(var(--color-txt-primary)) | .dialog-completion-message p: rgba(var(--color-txt-secondary), 0.8)",,,,.dialog-completion-message: flex,,,.footer-section-root: row | .footer-section-content: column | .dialog-completion-message: column,,,,,,.dialog-completion-message: var(--fs-200) | .dialog-completion-message span: var(--fs-300) | .dialog-completion-message p: var(--fs-200),,.dialog-completion-message span: var(--fw-bold),.footer-section-content: 1em | .dialog-completion-message: 1em,,,,,,,,,,,.footer-section-root: flex-end | .footer-section-content: stretch | .dialog-completion-message: flex-start,,,,.dialog-completion-message p: 0,,,,,,,,,,,,,,,,.dialog-completion-message: 2em,,,,,,,,,,,,.dialog-completion-message: center,,,,,,,,,,,,,,,,,
